time,ps,pl,ard1,ard2,ard3,ard4,ard5
09175537,31.65,30.85,28.75,27.0,26.25,24.0,21.75
09175547,31.68,30.76,28.75,27.0,26.25,24.0,21.75
09175557,31.89,30.65,28.75,27.0,26.25,24.0,21.75
09175607,33.07,30.55,28.75,27.0,26.25,24.0,21.75
09175617,33.25,30.88,29.0,27.0,26.25,24.0,21.75
09175627,33.16,30.65,28.75,27.0,26.25,24.0,21.75
09175637,33.01,30.78,28.75,27.0,26.25,24.0,21.75
09175647,31.45,30.92,28.75,27.0,26.25,24.0,21.75
09175657,32.67,31.20,29.0,27.0,26.25,24.0,21.75
09175707,32.55,30.53,28.75,27.0,26.25,24.0,21.75
09175717,32.26,30.57,28.75,27.0,26.25,24.0,21.75
09175727,30.76,30.84,28.75,27.0,26.25,24.0,21.75
09175737,32.52,30.65,28.75,27.0,26.25,24.0,21.75
09175747,32.17,30.72,29.0,27.0,26.25,24.0,21.75
09175757,31.19,30.60,28.75,27.0,26.25,24.0,21.75
09175807,31.33,30.94,28.75,27.0,26.25,24.0,21.75
09175817,32.11,30.67,28.75,27.0,26.25,24.0,21.75
09175827,32.73,30.91,28.75,27.0,26.25,24.0,21.75
09175837,31.69,30.39,28.75,27.0,26.25,24.0,21.75
09175847,32.12,30.53,28.75,27.0,26.25,24.0,21.75
09175857,32.28,30.86,29.0,27.0,26.25,24.0,21.75
09175907,32.03,30.88,29.0,27.0,26.25,24.25,21.75
09175917,32.08,30.88,28.75,27.0,26.25,24.0,21.75
09175927,31.56,30.90,28.75,27.0,26.25,24.25,21.75
09175937,32.61,30.75,28.75,27.0,26.25,24.0,21.75
09175947,32.26,30.94,28.75,27.0,26.25,24.0,21.75
09175957,32.21,31.07,29.0,27.0,26.25,24.0,21.75
09180007,32.26,30.77,29.0,27.0,26.5,24.0,21.75
09180017,33.55,31.09,29.0,27.0,26.5,24.25,21.75
09180027,32.18,30.84,29.0,27.0,26.25,24.0,21.75
09180037,32.63,30.83,28.75,27.0,26.25,24.0,21.75
09180047,31.37,30.93,28.75,27.0,26.25,24.0,21.75
09180057,31.04,30.76,29.0,27.0,26.25,24.25,21.75
09180107,31.24,30.75,28.75,27.0,26.5,24.25,21.75
09180117,33.18,31.06,29.0,27.0,26.5,24.0,21.75
09180127,32.38,30.91,29.0,27.0,26.25,24.0,21.75
09180137,32.47,30.83,29.0,27.0,26.25,24.25,21.75
09180147,31.74,30.98,29.0,27.25,26.5,24.25,21.75
09180157,33.04,30.86,29.0,27.0,26.25,24.0,21.75
09180207,32.09,30.36,29.0,27.0,26.5,24.0,21.75
09180217,32.57,30.68,29.0,27.0,26.5,24.25,21.75
09180227,32.77,31.07,29.0,27.25,26.5,24.0,21.75
09180237,32.12,30.91,29.0,27.0,26.5,24.25,21.75
09180247,32.83,30.97,29.0,27.0,26.5,24.25,21.75
09180257,32.09,30.62,29.0,27.25,26.5,24.25,21.75
09180307,33.74,30.93,29.0,27.0,26.5,24.25,21.75
09180318,32.96,30.88,29.0,27.0,26.5,24.0,21.75
09180328,32.78,31.24,29.0,27.0,26.5,24.0,21.75
09180338,32.44,31.01,29.0,27.25,26.5,24.25,21.75
09180348,33.35,30.82,29.0,27.0,26.5,24.25,21.75
09180358,32.83,31.04,29.0,27.25,26.5,24.25,21.75
09180408,32.31,30.43,29.0,27.25,26.5,24.25,21.75
09180418,32.67,30.71,29.0,27.0,26.5,24.25,21.75
09180428,33.36,30.94,29.0,27.25,26.5,24.25,21.75
09180438,31.85,30.72,29.0,27.25,26.5,24.25,21.75
09180448,31.31,30.85,29.0,27.25,26.5,24.25,21.75
09180458,32.37,30.92,29.0,27.25,26.5,24.25,21.75
09180508,30.88,30.76,29.0,27.25,26.5,24.25,21.75
09180518,32.95,31.11,29.0,27.25,26.25,24.25,21.75
09180528,32.99,30.80,29.0,27.25,26.5,24.25,21.75
09180538,31.50,30.60,29.0,27.0,26.5,24.0,21.75
09180548,32.44,31.04,29.0,27.25,26.5,24.25,21.75
09180558,32.28,30.88,29.0,27.25,26.5,24.25,21.75
09180608,31.74,31.14,29.0,27.25,26.5,24.25,21.75
09180618,32.14,30.81,29.0,27.25,26.5,24.25,21.75
09180628,31.71,30.94,29.0,27.25,26.5,24.25,21.75
09180638,32.12,31.34,29.0,27.25,26.5,24.25,21.75
09180648,32.17,31.24,29.0,27.25,26.5,24.25,21.75
09180658,32.09,30.69,29.0,27.25,26.5,24.25,21.75
09180708,33.06,30.86,29.0,27.25,26.5,24.25,21.75
09180718,31.48,30.81,29.0,27.25,26.5,24.25,21.75
09180728,31.98,30.85,29.0,27.25,26.5,24.25,21.75
09180738,32.98,30.68,29.0,27.25,26.5,24.25,21.75
09180748,33.09,31.13,29.0,27.25,26.5,24.25,21.75
09180758,31.83,30.81,29.0,27.25,26.5,24.25,21.75
09180808,33.12,30.96,29.0,27.25,26.5,24.25,21.75
09180818,33.22,30.80,29.0,27.25,26.5,24.25,21.75
09180828,32.20,31.11,29.0,27.25,26.5,24.25,21.75
09180838,33.06,31.02,29.0,27.25,26.5,24.25,21.75
09180848,32.51,30.97,29.0,27.25,26.5,24.25,21.75
09180858,32.17,30.52,29.0,27.25,26.5,24.25,21.75
09180908,31.40,30.96,29.0,27.25,26.5,24.25,21.75
09180918,31.45,31.02,29.0,27.25,26.5,24.25,21.75
09180928,32.90,30.51,29.0,27.25,26.5,24.25,21.75
09180938,31.65,31.05,29.0,27.25,26.5,24.25,21.75
09180948,31.59,31.37,29.0,27.25,26.5,24.25,21.75
09180958,31.40,30.68,29.25,27.25,26.5,24.25,21.75
09181008,32.96,31.09,29.0,27.25,26.5,24.25,21.75
09181018,32.06,30.90,29.25,27.25,26.5,24.25,21.75
09181028,32.75,30.81,29.0,27.25,26.5,24.25,21.75
09181038,31.40,31.01,29.0,27.25,26.5,24.25,21.75
09181048,31.54,31.17,29.0,27.25,26.5,24.25,21.75
09181058,32.60,30.88,29.0,27.25,26.5,24.25,21.75
09181108,31.68,31.24,29.0,27.25,26.5,24.25,21.75
09181118,32.38,31.01,29.0,27.25,26.5,24.25,21.75
09181128,32.63,30.65,29.0,27.25,26.5,24.25,21.75
09181138,32.00,31.10,29.0,27.25,26.5,24.25,21.75
09181148,31.98,30.86,29.0,27.25,26.5,24.25,21.75
09181158,32.20,31.01,29.0,27.25,26.5,24.25,21.75
09181209,31.85,31.03,29.25,27.25,26.5,24.25,21.75
09181219,33.73,31.11,29.25,27.25,26.5,24.25,21.75
09181229,32.64,31.27,29.0,27.25,26.5,24.25,21.75
09181239,31.30,30.92,29.25,27.25,26.5,24.25,21.75
09181249,31.72,31.17,29.0,27.25,26.5,24.25,21.75
09181259,34.17,30.91,29.0,27.25,26.5,24.25,21.75
09181309,31.83,30.88,29.0,27.25,26.5,24.25,21.75
09181319,32.90,31.12,29.0,27.25,26.5,24.25,21.75
09181329,32.02,30.79,29.0,27.25,26.5,24.25,21.75
09181339,32.34,31.13,29.25,27.25,26.5,24.25,21.75
09181349,32.28,31.07,29.0,27.25,26.5,24.25,21.75
09181359,32.44,30.95,29.25,27.25,26.5,24.25,21.75
09181409,31.28,31.15,29.25,27.25,26.5,24.25,21.75
09181419,31.30,31.01,29.25,27.25,26.5,24.25,21.75
09181429,33.22,30.91,29.25,27.25,26.5,24.25,21.75
09181439,32.89,31.36,29.25,27.25,26.5,24.25,21.75
09181449,32.15,31.06,29.25,27.25,26.75,24.25,21.75
09181459,33.41,31.15,29.25,27.25,26.75,24.25,21.75
09181509,31.40,30.98,29.25,27.25,26.75,24.25,21.75
09181519,32.54,31.01,29.25,27.25,26.5,24.25,21.75
09181529,33.25,30.78,29.25,27.25,26.75,24.25,21.75
09181539,31.13,31.17,29.25,27.25,26.5,24.25,21.75
09181549,32.41,30.73,29.25,27.25,26.75,24.25,21.75
09181559,31.27,31.20,29.25,27.25,26.75,24.25,21.75
09181609,33.07,30.88,29.25,27.5,26.75,24.25,21.75
09181619,32.38,31.04,29.25,27.25,26.75,24.25,21.75
